player,squad,league,pos,age,nation,is_world_cup,playing_time_min,gls_per90,ast_per90,xg_per90,npxg_per90,xag_per90,sh_per90,sot_per90,touches_per90,prog_carries_per90,prog_passes_per90,tackles_tkl_per90,int_per90,clr_per90,pass_completion_pct,_match_score,_match_strategy,market_value_eur,market_value_raw,position_detail,age_tm,contract_expires,nationality_tm,image_url,local_image_path,sportsdb_image_url
Erling Haaland,Manchester City,Premier League,FW,24,NOR,1,2337,0.494,0.11,0.551,0.467,0.283,3.789,1.198,31.431,6.081,3.259,1.133,0.467,0.0,78.5,100.0,full_key,180000000.0,€180.0M,FW,24.0,2025.0,NOR,https://upload.wikimedia.org/wikipedia/commons/4/43/Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg,app/static/players/erling_haaland.jpg,https://r2.thesportsdb.com/images/media/player/thumb/bb1agj1727415216.jpg
Kevin De Bruyne,Manchester City,Premier League,MF,33,BEL,1,3014,0.276,0.457,0.286,0.224,0.24,1.823,0.761,100.68,5.616,9.052,3.278,1.469,1.493,86.7,100.0,full_key,60000000.0,€60.0M,MF,33.0,2028.0,BEL,https://upload.wikimedia.org/wikipedia/commons/d/d7/MCFC_warm_up_versus_Watford.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/627wh81779038446.jpg
Phil Foden,Manchester City,Premier League,MF,24,ENG,1,1269,0.35,0.379,0.168,0.15,0.283,1.603,0.582,89.492,7.941,8.74,3.59,2.322,0.094,87.9,100.0,full_key,150000000.0,€150.0M,MF,24.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/commons/9/97/Yokohama_F._Marinos_-_Manchester_City_%283-5%29_-_53075578208.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/19o7yc1749157221.jpg
Ruben Dias,Manchester City,Premier League,DF,27,POR,1,2968,0.0,0.131,0.096,0.0,0.071,0.0,0.0,78.713,2.63,8.445,4.484,2.348,5.571,88.8,100.0,full_key,60000000.0,€60.0M,DF,27.0,2027.0,POR,https://upload.wikimedia.org/wikipedia/commons/7/76/Manchester_City_25-26_vs_Spurs.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/9kws2w1684833492.jpg
Manuel Akanji,Manchester City,Premier League,DF,29,SUI,1,947,0.082,0.076,0.0,0.0,0.095,0.18,0.246,62.758,2.213,6.338,3.471,1.922,4.947,87.5,100.0,full_key,4260000.0,€4.3M,DF,29.0,2026.0,SUI,https://upload.wikimedia.org/wikipedia/commons/7/7b/City_team_08102022.jpg,app/static/players/manuel_akanji.jpg,https://r2.thesportsdb.com/images/media/player/thumb/rkw8nb1703327216.jpg
Bernardo Silva,Manchester City,Premier League,MF,30,POR,1,1532,0.137,0.273,0.119,0.185,0.288,0.707,0.844,77.542,4.583,10.684,2.52,1.559,1.968,83.9,100.0,full_key,13310000.0,€13.3M,MF,30.0,2026.0,POR,https://upload.wikimedia.org/wikipedia/commons/7/76/Manchester_City_25-26_vs_Spurs.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/n6lcbp1557863742.jpg
Rodri,Manchester City,Premier League,MF,28,ESP,1,1771,0.203,0.31,0.404,0.0,0.364,1.69,0.759,78.913,6.45,9.251,2.049,1.558,1.42,83.0,100.0,full_key,120000000.0,€120.0M,MF,28.0,2028.0,ESP,https://upload.wikimedia.org/wikipedia/commons/4/41/RODRI_-_SWE_vs_ESP_-_UEFA_EURO_2020_QUALIFIERS_-_2019.10.15_%28cropped%29.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/r6vlwa1545242094.jpg
Jack Grealish,Manchester City,Premier League,FW,29,ENG,1,2737,0.572,0.185,0.289,0.302,0.096,2.185,1.071,33.049,3.109,3.412,0.885,0.546,1.587,71.0,100.0,full_key,22360000.0,€22.4M,FW,29.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/e/e3/Paris_Saint-Germain_-_Manchester_City_FC%2C_22_January_2025_%28168%29_%28cropped%29.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/ah2exe1771944888.jpg
Matheus Nunes,Manchester City,Premier League,MF,26,POR,1,2294,0.274,0.394,0.0,0.137,0.261,1.197,0.445,69.178,5.255,8.153,1.52,0.983,0.418,93.7,100.0,full_key,14320000.0,€14.3M,MF,26.0,2027.0,POR,https://upload.wikimedia.org/wikipedia/commons/7/76/Manchester_City_25-26_vs_Spurs.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/fm3isa1703327534.jpg
Josko Gvardiol,Manchester City,Premier League,DF,22,CRO,1,1476,0.083,0.112,0.0,0.049,0.079,0.131,0.381,82.784,2.74,8.232,4.409,2.819,6.395,84.4,100.0,full_key,70000000.0,€70.0M,DF,22.0,2028.0,CRO,https://upload.wikimedia.org/wikipedia/commons/f/fa/Crystal_Palace_FA_Cup_winners.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/dku11k1703326585.jpg
Ederson,Manchester City,Premier League,GK,31,BRA,1,2377,0.0,0.045,0.036,0.026,0.119,0.864,0.0,39.31,0.213,2.17,0.0,0.0,1.045,60.1,100.0,full_key,11540000.0,€11.5M,GK,31.0,2025.0,BRA,https://upload.wikimedia.org/wikipedia/commons/7/73/Ederson_%28cropped%29.png,,https://r2.thesportsdb.com/images/media/player/thumb/lqvotq1741317988.jpg
Kyle Walker,Manchester City,Premier League,DF,34,ENG,1,3104,0.0,0.12,0.0,0.0,0.08,1.278,0.607,65.197,1.772,8.882,3.152,1.907,6.673,69.8,100.0,full_key,8210000.0,€8.2M,DF,34.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/0/01/Kyle_Daukaus.png,,https://r2.thesportsdb.com/images/media/player/thumb/ndt9gl1772370034.jpg
John Stones,Manchester City,Premier League,DF,30,ENG,1,2193,0.081,0.166,0.0,0.122,0.128,0.138,0.0,57.032,3.278,7.199,3.072,2.171,5.845,82.6,100.0,full_key,12860000.0,€12.9M,DF,30.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/8/81/Cliff_Blue_Vein_Bowl_-_Castleton_Visitor_Centre.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/iub2p21763068622.jpg
Ilkay Gundogan,Manchester City,Premier League,MF,34,GER,1,1735,0.119,0.23,0.161,0.0,0.136,0.231,0.628,78.128,6.368,5.446,2.426,1.045,0.0,84.1,100.0,full_key,10570000.0,€10.6M,MF,34.0,2026.0,GER,https://upload.wikimedia.org/wikipedia/commons/d/d2/London_Wembley.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/55dcb01690988705.jpg
Jeremy Doku,Manchester City,Premier League,FW,22,BEL,1,1819,0.391,0.108,0.498,0.224,0.219,2.808,0.983,43.347,4.126,3.358,1.582,0.717,0.715,75.8,100.0,full_key,40780000.0,€40.8M,FW,22.0,2026.0,BEL,https://upload.wikimedia.org/wikipedia/commons/9/97/Yokohama_F._Marinos_-_Manchester_City_%283-5%29_-_53075578208.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/w37jy41703326117.jpg
Bukayo Saka,Arsenal,Premier League,FW,23,ENG,1,2811,0.595,0.276,0.604,0.561,0.24,3.408,1.108,45.885,5.006,3.939,1.379,0.323,0.0,69.2,100.0,full_key,150000000.0,€150.0M,FW,23.0,2027.0,ENG,https://upload.wikimedia.org/wikipedia/commons/b/b0/2023_MLS_All_Star_Game_2023-07-19_corner_kick.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/axl31b1769332282.jpg
Martin Odegaard,Arsenal,Premier League,MF,26,NOR,1,1286,0.408,0.254,0.0,0.171,0.314,1.381,0.499,107.776,5.728,11.643,3.031,2.26,1.326,83.2,100.0,full_key,80000000.0,€80.0M,MF,26.0,2027.0,NOR,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,
Declan Rice,Arsenal,Premier League,MF,26,ENG,1,2737,0.169,0.26,0.128,0.272,0.216,2.088,0.423,86.736,6.209,9.58,3.556,2.108,0.0,88.3,100.0,full_key,100000000.0,€100.0M,MF,26.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/b/b0/2023_MLS_All_Star_Game_2023-07-19_corner_kick.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/ty3z7g1705918131.jpg
Gabriel Martinelli,Arsenal,Premier League,FW,23,BRA,1,1679,0.211,0.025,0.411,0.407,0.077,2.633,0.942,28.515,4.139,2.611,0.208,0.204,1.216,66.6,100.0,full_key,17830000.0,€17.8M,FW,23.0,2025.0,BRA,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/jf2gcn1716705057.jpg
William Saliba,Arsenal,Premier League,DF,23,FRA,1,2087,0.021,0.134,0.214,0.0,0.035,1.032,0.343,89.841,4.133,9.405,4.333,2.037,4.957,86.8,100.0,full_key,65000000.0,€65.0M,DF,23.0,2026.0,FRA,https://upload.wikimedia.org/wikipedia/commons/b/b0/2023_MLS_All_Star_Game_2023-07-19_corner_kick.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/w0sp3q1779262968.jpg
Gabriel Magalhaes,Arsenal,Premier League,DF,27,BRA,1,2388,0.0,0.003,0.016,0.197,0.08,1.317,0.0,63.148,3.526,7.453,2.805,1.601,5.204,76.1,100.0,full_key,4970000.0,€5.0M,DF,27.0,2028.0,BRA,https://upload.wikimedia.org/wikipedia/commons/b/b0/2023_MLS_All_Star_Game_2023-07-19_corner_kick.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/livh431779262874.jpg
Leandro Trossard,Arsenal,Premier League,FW,30,BEL,1,3070,0.436,0.109,0.406,0.275,0.264,2.222,1.411,33.797,4.06,2.78,0.47,0.524,0.0,76.0,100.0,full_key,6830000.0,€6.8M,FW,30.0,2026.0,BEL,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/2ledb81705918706.jpg
Kai Havertz,Arsenal,Premier League,FW,25,GER,1,1209,0.338,0.09,0.422,0.319,0.219,3.682,1.027,32.533,3.164,3.273,0.633,0.401,1.06,79.3,100.0,full_key,9550000.0,€9.6M,FW,25.0,2026.0,GER,https://upload.wikimedia.org/wikipedia/commons/b/b0/2023_MLS_All_Star_Game_2023-07-19_corner_kick.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/5c3h061780160105.jpg
Ben White,Arsenal,Premier League,DF,27,ENG,1,2847,0.164,0.067,0.067,0.0,0.002,0.424,0.013,76.38,2.883,7.048,3.232,2.025,6.047,80.7,100.0,full_key,17850000.0,€17.9M,DF,27.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/a/a0/Ben_White_2018.jpg,app/static/players/ben_white.jpg,
Thomas Partey,Arsenal,Premier League,MF,31,GHA,1,1337,0.293,0.228,0.238,0.058,0.028,1.243,0.781,70.588,4.8,7.386,2.27,1.222,0.724,79.0,100.0,full_key,4930000.0,€4.9M,MF,31.0,2027.0,GHA,https://upload.wikimedia.org/wikipedia/commons/6/64/Manchester_United_v_Arsenal%2C_2_December_2021_%2815%29.jpg,app/static/players/thomas_partey.jpg,https://r2.thesportsdb.com/images/media/player/thumb/lnsxw11705917605.jpg
David Raya,Arsenal,Premier League,GK,29,ESP,1,1391,0.113,0.0,0.056,0.016,0.063,0.064,0.128,49.841,1.662,3.208,0.0,0.592,0.844,60.8,100.0,full_key,5020000.0,€5.0M,GK,29.0,2025.0,ESP,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/877ews1779732793.jpg
Jurrien Timber,Arsenal,Premier League,DF,23,NED,1,3058,0.142,0.0,0.119,0.083,0.115,0.673,0.32,61.26,1.25,6.648,3.302,1.917,4.014,90.2,100.0,full_key,22630000.0,€22.6M,DF,23.0,2026.0,NED,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/adlsne1705918468.jpg
Takehiro Tomiyasu,Arsenal,Premier League,DF,26,JPN,1,1043,0.034,0.007,0.097,0.0,0.111,0.289,0.658,69.9,0.608,5.551,2.822,2.057,5.228,74.4,100.0,full_key,17720000.0,€17.7M,DF,26.0,2025.0,JPN,https://upload.wikimedia.org/wikipedia/commons/b/b0/2023_MLS_All_Star_Game_2023-07-19_corner_kick.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/lo0sz51678274694.jpg
Fabio Vieira,Arsenal,Premier League,MF,24,POR,1,2953,0.182,0.32,0.1,0.0,0.201,0.905,0.607,65.73,5.805,8.821,1.519,1.429,0.582,90.6,100.0,full_key,18150000.0,€18.1M,MF,24.0,2025.0,POR,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/vt9o6v1705918788.jpg
Oleksandr Zinchenko,Arsenal,Premier League,DF,28,UKR,1,1665,0.0,0.085,0.0,0.041,0.108,0.766,0.068,67.843,2.331,5.841,2.558,1.396,5.674,84.0,100.0,full_key,20230000.0,€20.2M,DF,28.0,2028.0,UKR,https://upload.wikimedia.org/wikipedia/commons/6/65/Arsenal_v_Everton_-_52221884677.jpg,,https://r2.thesportsdb.com/images/media/player/thumb/g4wvkd1715902407.jpg
Mohamed Salah,Liverpool,Premier League,FW,32,EGY,1,3156,0.554,0.148,0.555,0.438,0.177,3.688,1.456,63.44,5.672,3.456,1.418,0.92,0.0,70.6,100.0,full_key,60000000.0,€60.0M,FW,32.0,2025.0,EGY,https://upload.wikimedia.org/wikipedia/commons/a/a5/2025_LFC_Parade.jpg,app/static/players/mohamed_salah.jpg,https://r2.thesportsdb.com/images/media/player/thumb/o7y57t1718438615.jpg
